line_number,text,speaker_id,language,gender
24,"वह इतनी सुन्दर थी जो भी उसे देखता , देखता ही रह जाता |",0001,Hin,f
25,पर उसे गुस्सा बहुत आता था |,0001,Hin,f
26,गुस्से में वह किसी से कुछ भी कह देती |,0001,Hin,f
27,घर के सबलोग उसकी इस आदत से बहुत परेशां थे |,0001,Hin,f
28,एक बार उसके पिता ने उसे सबक सिखाने की सोचा |,0001,Hin,f
29,उसके पिता ने उसे कुछ कील और हतोड़ा दिया और कहा एक महीने तक हम एक एक्टिविटी करेंगे जिसमे तुम्हे बस एक महीने तक गुस्सा कम करना है उसके बाद तुम चाहो जितना गुस्सा कर सकती हो  |,0001,Hin,f
30,और जब भी तुम्हे गुस्सा आये और तुम किसी से बुरी तरह बोल दो तो एक कील दीवार में लगा देना |,0001,Hin,f
31,"और कोशिश करनी है गुस्सा कम करने की , लड़की  तैयार हो गयी |",0001,Hin,f
32,उसे जब भी गुस्सा आता और वह किसी को कुछ बोल देती तो एक कील दिवार में लगा देती |,0001,Hin,f
33,पहले दिन उसने दीवार में तीस  कील लगा दी |,0001,Hin,f
34,पर धीरे  धीरे दिवार में लगने वाली कील काम होने लगी |,0001,Hin,f
35,पन्द्रह  ही दिन में उस लड़की ने सबसे बुरी तरह बोलना काम कर दिया |,0001,Hin,f
36,अब उसके पिता ने उससे कहा की अगर तुम एक बार भी गुस्सा का करना होने पर किसी से बुरी तरह न बोलो तो अपने द्वारा लगायी हुई कील में से एक कील निकाल देना |,0001,Hin,f
37,लड़की ने वैसे ही किया |,0001,Hin,f
1,अपने जीवन का लक्ष्य निर्धारित करो | और सभी दूसरे विचार  को  अपने दिमाग से निकाल दो यही सफलता की पूंजी है |,0002,Hin,f
2,सफलता पाने के लिए हमें पहले विश्वास करना होगा की हम कर सकते हैं,0002,Hin,f
3,पार्टी नेताओं के इस्तीफे पर कहा- सबका अपना व्यक्तिगत मामला था।,0002,Hin,f
4,उन्होंने बताया कि घी बनाने वाला रिफाइंड पॉमोलिन ऑयल सत्तर  रूपए में आता है।,0002,Hin,f
5,माना जा रहा है कि बुधवार को राज्य सरकार विधानसभा में बड़ा ऐलान कर सकती है।,0002,Hin,f
6,"फिर इस डेड लाइन को बढ़ाकर वर्ष  दो  हज़ार सत्रह  किया गया, लेकिन अभी तक नए विमान मिलते नजर नहीं आ रहे हैं।",0002,Hin,f
7,अलग-अलग मौसम में सूर्य की किरणों का वितरण प्रभावित होता है।,0002,Hin,f
8,"इनकी संख्या कार्बन डाई ऑक्साइड, सूरज की रोशनी और पानी में मौजूद पोषक तत्वों के आधार पर बढ़ती है।",0002,Hin,f
9,कई लोग अपने व्यस्त जीवन के चलते भगवान का ध्यान नहीं करते।,0002,Hin,f
10,देना बैंक और आईडीबीआई बैंक के भी जल्द पीसीए लिस्ट से हटने की उम्मीद है।,0002,Hin,f
11,"थोड़ी ही देर में भीष्म, द्रोणाचार्य, कर्ण, दुर्योधन, दु:शासन, अभिमन्यु, धृतराष्ट्र के सभी पुत्र, घटोत्कच, द्रौपदी के पांचों पुत्र, राजा द्रुपद, धृष्टद्युम्न, शकुनि, शिखंडी आदि वीर जल से बाहर निकल आए।",0002,Hin,f
12,"काम में कुछ नया बदलाव कर सकते हैं, जो आपके काम को आगे बढ़ाएगा।",0002,Hin,f
13,"इनमें इलाहाबाद बैंद, यूनाइटेड बैंक ऑफ इंडिया, कॉरपोरेशन बैंक, यूको बैंक, सेंट्रल बैंक ऑफ इंडिया और इंडियन ओवरसीज बैंक शामिल हैं।",0002,Hin,f
14,राज्य के बाहर के अभ्यर्थी इस अधिनियम के अधीन आरक्षण का लाभ नहीं ले सकेंगे।,0002,Hin,f
15,सचिन तेंडुलकर ने चार सौ तिरसठ वनडे में उनचास  शतक बनाए थे।,0002,Hin,f
16,बदमाश यहां से करीब सत्तर  हजार रुपए लूट ले गए।,0002,Hin,f
17,यह गिरोह दिल्ली में करीब बीस  हजार करोड़ रुपए का मनी लॉन्ड्रिंग रैकेट चला रहा था।,0002,Hin,f
18,अगर सांसद इस संबंध में अपील करती हैं तो उन्हें कोर्ट से रिलीफ भी मिल सकता है।,0002,Hin,f
19,इस हादसे में भी पायलट बाहर निकलने में कामयाब रहा था।,0002,Hin,f
20,पौराणिक कथाओं से प्रभावित होकर बनाए गए इस मंदिर में भीष्म पितामाह की बारह फिट लम्बी और लेटी हुई मूर्ति स्थापित है।,0002,Hin,f
21,उत्तरी भारत में बने पश्चिमी विक्षोभ का असर राजस्थान से मध्यप्रदेश और बिहार होते हुए छत्तीसगढ़ तक पहुंचा।,0002,Hin,f
22,परिक्रमा भी की जाती है नर्मदा की,0002,Hin,f
23,नौ महीने के अंत तक दीवार से सब कील निकल गयी |,0002,Hin,f
24,लड़की बहुत खुश हुई की वो इस गेम में जीत गयी |,0002,Hin,f
25,अर अपने पिता जी से कहने लगी,0002,Hin,f
26,देखिये सब कील दीवार से निकल गयी |,0002,Hin,f
27,उसके पिता ने कहा दीवार से कील तो निकल गयी पर क्या दीवार पहले जैसी सुन्दर दिख रही है |,0002,Hin,f
28,दीवार में जगह जगह निशान पढ़ गए हैं |,0002,Hin,f
29,पिता ने अपनी बेटी को समझाया इसी तरह जब तुम किसी पर गुस्सा करती हो तो तुम्हारे रिश्तो में भी ख़राब निशान छूट ही जाते है |,0002,Hin,f
30,और एक दिन यही निशान रिस्तो को भी ख़राब कर देते हैं लड़की के बात समझ में आ गयी और उसने उस दिन से गुस्सा करना बहुत कम कर दिया .,0002,Hin,f
31,दोस्तों सब सभी का भी यही हाल होता है |,0002,Hin,f
32,हम जिस पर गुस्सा कर सकते है उससे बहुत उल्टा सीधा कह देते हैं और अपने रिश्तो को ख़राब कर देते हैं |,0002,Hin,f
33,गुस्सा करने की हम आदत बना लेते है और जिसे हम दवा सकते है उसी पर गुस्सा करते हैं |,0002,Hin,f
34,जैसे की ऑफिस में बॉस ने कुछ  कह दिया हम उससे कुछ नहीं कह सकते तो घर आकर बच्चो को बिना किसी गलती के ही  डांट देते हैं |,0002,Hin,f
35,इसलिए  अपनी इस ख़राब आदत को रिश्तो के ख़राब होने से पहले ही सुधार लीजिये  |,0002,Hin,f
1,अपने जीवन का लक्ष्य निर्धारित करो | और सभी दूसरे विचार  को  अपने दिमाग से निकाल दो यही सफलता की पूंजी है |,0003,Hin,m
2,सफलता पाने के लिए हमें पहले विश्वास करना होगा की हम कर सकते हैं,0003,Hin,m
3,इसकी वजह से गुरुवार की रात से राजधानी सहित प्रदेशभर में मौसम बदल गया है।,0003,Hin,m
4,वही एक देवों के देव महादेव ऐसे भी हैं जो अपने अलग ही स्वरूप के लिए जाने जाते हैं।,0003,Hin,m
5,वर्तमान समय में तो कई तीर्थ गुप्त रूप में स्थित हैं।,0003,Hin,m
6,"विराट कोहली की अगुआई में हाल ही में टीम इंडिया ने ऑस्ट्रेलिया में पहली बार टेस्ट सीरीज जीती, पहली द्विपक्षीय वनडे सीरीज जीती और न्यूजीलैंड में वनडे सीरीज जीती।",0003,Hin,m
7,सच बोलना मनुष्य के सबसे खास गुणों में से एक माना जाता है।,0003,Hin,m
8,एसपी कार्तिकेयन ने घटना की पुष्टि करते हुए कहा कि घटना की जांच की जा रही है और बदमाशों को पकड़ने की कोशिश शुरू कर दी गई है।,0003,Hin,m
9,फैक्ट्री पर चारों ओर गंदगी ही गंदगी थी।,0003,Hin,m
10,वहीं दूसरी मंजिल पर ही रिफाइंड तेल के पीपे रखे हुए थे।,0003,Hin,m
11,लंबे समय से किए जा रहे प्रयासों का सुपरिणाम है,0003,Hin,m
12,लेकिन हम अंत तक मैच में बने हुए थे।,0003,Hin,m
13,इस प्रकार वन में रहते हुए धृतराष्ट्र आदि को लगभग एक   वर्ष बीत गया।,0003,Hin,m
14,"अक्षय कुमार को उनकी पलटन के साथ देखा जा सकता है, जो कि सिख अवतार में नज़र आ रही है।",0003,Hin,m
15,बीएसपी के तीन  हजार अफसर और  तीस  हजार कर्मचारी इससे लाभान्वित होंगे।,0003,Hin,m
16,"व्यापारियों ने बताया कि वर्तमान में काफी अच्छी क्वालिटी की मशीनें आ गई हैं, जिससे दालें पूरी तरह से साफ हो जाती हैं।",0003,Hin,m
17,"मौके पर मिल्क फूड के नाम से एक  हज़ार  नौ सौ चौंतीस  लीटर, डेयरी बेस्ट के नाम से  एक  हज़ार  एक  सौ  पच्चीस और महान घी के नाम से सात  सौ पचास लीटर घी तैयार था जो कि अगले दिन बाजार में बेचा जाना था।",0003,Hin,m
18,इसी प्रकार अस्सी  रूपए में कार्न खरीद कर उसमे मिलावट करके एक  सौ अस्सी प्रति लीटर के हिसाब तिल का तेल बेचा जाता है।,0003,Hin,m
19,इस पेंशन फंड को ऑपरेट करने के लिए सरकार द्वारा किसी भी प्रकार का बजटरी सहयोग प्रदान नहीं किया जाएगा।,0003,Hin,m
20,बीएसपी कर्मचारियों को बारह  साल के संघर्ष के बाद अब मिलेगा पेंशन स्कीम का लाभ,0003,Hin,m
21,टिकट का रिफंड पाने के लिए यात्रियों को अपने नजदीकी रेलवे स्टेशन पर जाना होगा।,0003,Hin,m
22,जोधपुर से उड़ान भर फायरिंग रेंज में अपने काल्पनिक ठिकाने पर बमबारी करने के बाद वापस लौटते समय यह हादसा हुआ।,0003,Hin,m
23,"एक चिड़िया थी वह बहुत उच उड़ती , इधर उधर चहचहाती रहती |",0003,Hin,m
24,कभी इस टहनी पर कभी उस टहनी पर फुदकती रहती |,0003,Hin,m
25,पर उस चिड़िया की एक आदत थी वह जो भी दिन में उसके साथ होता अच्छा या बुरा उतने पत्थर अपने पास पोटली में रख लेती और  अकसर उन पत्थरो को पोटली से निकाल कर देखती अच्छे  पत्थरो को देखकर बीते दिनों में हुई अच्छी बातो को याद करके खुश होती |,0003,Hin,m
26,और खराब पत्थरो को देखकर दुखी होती |,0003,Hin,m
27,ऐसा रोज़ करती |,0003,Hin,m
28,रोज़ पत्थर इकठा करने से उसकी पोटली दिन प्रतिदिन भारी होती जा रही थी |,0003,Hin,m
29,थोड़े दिन बाद उसे भरी पोटली के साथ उड़ने में दिक्कत होने लगी |,0003,Hin,m
30,पर  उसे समझ नहीं आ रहा था की वह उठ क्यों नहीं पा रही |,0003,Hin,m
31,"कुछ समय और बीता, पोटली और भारी होती जा रही थी |",0003,Hin,m
32,अब तो उसका जमीन पर चलना भी मुश्किल हो रहा था |,0003,Hin,m
33,और एक दिन ऐसा आया की वह खाने पीने का इंतज़ाम भी नहीं कर पाती अपने लिए और अपने पत्थरो के बोझ तले मर गयी .,0003,Hin,m
34,दोस्तों ऐसा ही हमारे साथ होता है जब हम पुरानी बातो की पोटली अपने साथ रखते है |,0003,Hin,m
35,अपने वर्तमान का आनंद लेने की जगह भूतकाल की बातो को ही सोचने में लगे रहते हैं |,0003,Hin,m
36,इस पल का आन्नद लीजिये |,0003,Hin,m
1,अपने जीवन का लक्ष्य निर्धारित करो | और सभी दूसरे विचार  को  अपने दिमाग से निकाल दो यही सफलता की पूंजी है |,0004,Hin,m
2,सफलता पाने के लिए हमें पहले विश्वास करना होगा की हम कर सकते हैं,0004,Hin,m
3,नर्मदा भारत की प्रमुख नदियों में से एक है।,0004,Hin,m
4,जिसमें ट्रस्टियों की संख्या चौदह  रखे जाने पर सहमति बनी लेकिन ट्रस्टियों के नाम तय नहीं हो पाए हैं।,0004,Hin,m
5,दूसरी मंजिल पर दुर्गंध इतनी अधिक कि कोई रुक नहीं सकता।,0004,Hin,m
6,मौसम खुलने से रात के तापमान में छह से सात डिग्री की गिरावट आएगी।,0004,Hin,m
7,प्रशांत महासागर में चीन की शक्ति को टक्कर देने के लिए ब्रिटेन ने अपने सबसे बड़े और शक्तिशाली विमानवाहक पोत के जरिए लड़ाकू विमान उतारने की ठान ली है।,0004,Hin,m
8,"हम कोई दूत बन के नहीं, चाचा के साथ चाय पीने आए हैं।",0004,Hin,m
9,कर सुधार और आम लोगों को फायदा पहुंचाने के लिए यह विधेयक महत्वपूर्ण है,0004,Hin,m
10,"रिपोर्ट में तीनों ब्रांड (डेयरी बेस्ट, मिल्क फूड और महान डेयरी) के नाम से बेचे जा रहे घी अनसेफ माने गए हैं।",0004,Hin,m
11,एक बार नारद मुनि ने सती माता से पूछा कि माता शंकर भगवान अगर आपको सबसे अधिक प्रेम करते हैं तो उनके कंठ पर मुंडों की माला क्यों रहती है?,0004,Hin,m
12,वह हर समय इधर-उधर भटकता रहता है।,0004,Hin,m
13,अंतरराष्ट्रीय क्रिकेट परिषद (आईसीसी) ने पिछले महीने उन्हें साल  दो  हज़ार अठारह  -उन्नीस  के लिए वनडे क्रिकेटर ऑफ द ईयर चुना था।,0004,Hin,m
14,अधिकारी ने बताया कि इसके जरिए लोग लॉन्ग टर्म कैपिटल गेन का फर्जी दावा पेश कर रहे थे।,0004,Hin,m
15,"खिलाड़ी आज इस हार से काफी निराश होंगे, लेकिन हमने कई गलतियां भी कीं।",0004,Hin,m
16,उनकी काबिलियत के श्रीलंका के महान क्रिकेटर्स में से एक कुमार संगकारा भी कायल हैं।,0004,Hin,m
17,वर्तमान स्थिति में पेंशन स्कीम की गणना करें तो दो   से तीन  हजार रुपए ही मिलेंगे हर महीने,0004,Hin,m
18,उन्होंने बताया कि रेलवे स्टेशनों पर यात्री सुविधाओं काे बेहतर बनाने के लिए पहली बार ‘इंटीग्रेटेड फैसिलिटी मैनेजमेंट’ शुरू किया गया।,0004,Hin,m
19,"दाल, घी जैसी रोजमर्रा की चीजें भी मिलावट से अछूती नहीं रही हैं।",0004,Hin,m
20,"कम्प्यूटरीकृत प्रणाली के चलते यूजर किसी भी रेलवे स्टेशन से अपना टिकट कैंसल करा सकते हैं, लेकिन यह स्टेशन बोर्डिंग पॉइंट वाले स्टेशन के पाँच -दस किलोमीटर के दायरे में होना चाहिए।",0004,Hin,m
21,पूर्व मुख्यमंत्री अखिलश यादव ने बसपा के साथ गठबंधन पर उठ रहे सवालों के बीच शुक्रवार को कहा कि क्षेत्रीय दलों के साथ गठबंधन कर ही भाजपा इतनी मजबूत हुई है।,0004,Hin,m
22,"यहां तक कि जो लोग ये बना रहे थे, उनसे भी कोई बातचीत नहीं की गई।",0004,Hin,m
23,"एक बार एक व्यक्ति, एक हाथी को रस्सी से बांध कर ले जा रहा था |",0004,Hin,m
24,एक दूसरा व्यक्ति इसे देख रहा था |,0004,Hin,m
25,उसे बढ़ा आश्चर्य हुआ की इतना बढ़ जानवर इस हलकी से रस्सी से बंधा जा रहा है दूसरे व्यक्ति ने हाथी के मालिक से पूछा ”,0004,Hin,m
26,यह कैसे संभव है की इतना बढ़ा जानवर एक हलकी सी रस्सी को नहीं तोड़ पा रहा और तुम्हरे पीछे पीछे चल रहा है|,0004,Hin,m
27,हाथी के मालिक ने बताया जब ये हाथी छोटे होते हैं तो इन्हें रस्सी से बांध दिया जाता है उस समय यह कोशिश करते है रस्सी तोड़ने की पर उसे तोड़ नहीं पाते |,0004,Hin,m
28,बार बार कोशिश करने पर भी यह उस रस्सी को नहीं तोड़ पाते तो हाथी सोच लेते है की वह इस रस्सी को नही तोड़ सकते और बढे होने पर कोशिश करना ही छोड़ देते है .,0004,Hin,m
29,दोस्तों हम भी ऐसी बहुत सी नकारात्मक बातें अपने दिमाग में बैठा लेते हैं की हम नहीं कर सकते |,0004,Hin,m
30,और एक ऐसी ही रस्सी से अपने को बांध लेते हैं जो सच में होती ही नहीं है |,0004,Hin,m
1,अपने जीवन का लक्ष्य निर्धारित करो | और सभी दूसरे विचार  को  अपने दिमाग से निकाल दो यही सफलता की पूंजी है |,0005,Hin,f
2,सफलता पाने के लिए हमें पहले विश्वास करना होगा की हम कर सकते हैं,0005,Hin,f
3,भीष्म पितामाह महाभारत के प्रमुख योद्धाओं में से थे।,0005,Hin,f
4,ऐसा ही रहा तो समुद्र में जीवन की कल्पना करना मुश्किल हो जाएगा।,0005,Hin,f
5,"रिपोर्ट के अनुसार, सोमवार को थिंक टैंक रॉयल युनाइटेड सर्विसेज इंस्टीट्यूट को दिए एक भाषण में विलियम्सन ने कहा कि पैंसठ हज़ार  टन वजनी माल वाहक क्वीन एलिजाबेथ भूमध्य और मध्य पूर्व से भी होकर गुजरेगा।",0005,Hin,f
6,"जिस मनुष्य में सच बोलने का गुण होता है, उसे जीवन में हर जगह सफलता मिलती है।",0005,Hin,f
7,कांग्रेस के सत्ता में आने के बाद पन्द्रह  साल में पहली बार नर्मदा जयंती महोत्सव के दूसरे दिन मंगलवार को जलमंच पर नई तस्वीर देखने को मिलेगी।,0005,Hin,f
8,भारत को यहां सेडन पार्क मैदान में रविवार को खेले गए तीसरे टी-ट्वेंटी मैच में न्यूजीलैंड के हाथों चार रन से हार का सामना करना पड़ा।,0005,Hin,f
9,ऐसे में इन्हीं का इस्तेमाल किया जा रहा है।,0005,Hin,f
10,इसके जरिए करीब एक हजार करोड़ रुपए के घोटाले की आशंका है।,0005,Hin,f
11,कोशिश करें कि मास्क पहनकर बाहर निकलें,0005,Hin,f
12,पोकरण में चल रहे वायुसेना के युद्धाभ्यास के दौरान मंगलवार शाम एक मिग-सत्ताईस लड़ाकू विमान क्रैश हो गया।,0005,Hin,f
13,चार सौ पचास  किलोग्राम से अधिक इस पाउडर से खराब दाल को चमकाने का काम किया जाता था।,0005,Hin,f
14,चार सौ पचास  किलोग्राम से अधिक इस पाउडर से खराब दाल को चमकाने का काम किया जाता था।,0005,Hin,f
15,दाल को चमकाने के लिए सोप स्टोन (घीया पत्थर) काम में लिया जा रहा था।,0005,Hin,f
16,ब्रोकर की भूमिका खत्म होगी उपभोक्ताओं को सीधा फायदा,0005,Hin,f
17,वायुसेना में मामले की जांच के आदेश दिए है।,0005,Hin,f
18,शंकराचार्यों ने भी इसकी महिमा का गुणगान किया है।,0005,Hin,f
19,"अपने प्राण के लिए यह चिंता न करना कि क्‍या खाएंगे, क्‍या पिएंगे।",0005,Hin,f
20,"श्रीमद्भागवत के अनुसार, जो मनुष्य जरूरतमदों को नियमित रूप से दान करता है, उसे पुण्य की प्राप्ति होती है।",0005,Hin,f
21,इस जीत में उन्होंने बल्ले से भी अहम रोल अदा किया।,0005,Hin,f
22,शोधकर्ताओं का कहना है जलवायु परिवर्तन का असर समुद्री जीवों के भोजन पर पड़ेगा और वातावरण में कार्बन की मात्रा बढ़ेगी,0005,Hin,f
23,"एक लड़का वहां मौजूद था,  उम्र बारह  से  चौदह साल रही होगी  |",0005,Hin,f
24,आने वाली गाड़ी को रोकने के लिए वह उपाय  सोचने लगा |,0005,Hin,f
25,जब कोई भी उपाय उसे नहीं सुझा तो उसने अपनी शर्ट उतरी और अपना हाथ काटकर खून निकाल और शर्ट को खून में रंग लिया |,0005,Hin,f
26,और पटरी के आगे लाल झंडा फहराता हुआ खड़ा हो गया |,0005,Hin,f
27,गाड़ी चली आ रही  थी |,0005,Hin,f
28,लड़के को थोड़ा डर तो लग रहा था |,0005,Hin,f
29,पर फिर भी वो झंडा लेकर खड़ा रहा |,0005,Hin,f
30,तभी ड्राइवर ने लड़के को देख लिया और गाड़ी को रोक दिया |,0005,Hin,f
31,लड़के ने सारी बात ड्राइवर को बताई |,0005,Hin,f
32,उस लड़के का नाम था जार्ज स्टेनले |,0005,Hin,f
33,गाड़ी में बैठा हर वयक्ति लड़के की सूझबूझ की प्रसंसा कर रहा था |,0005,Hin,f
34,छोटे लड़के की समझदारी ने अनेक यात्रियों की जान बचा ली |,0005,Hin,f
35,दोस्तों ये कहानी हम सभी ने बचपन से सुनी है |,0005,Hin,f
36,क्या एक बारह से चौदह साल के लड़के में अचानक से इतना साहस और सूझबूझ आ गयी होगी |,0005,Hin,f
37,नहीं दोस्तों ये तो बचपन से उस लड़के को दूसरों की मदद करना |,0005,Hin,f
38,कठिनाई देखकर न घवरना इस तरह की सोच मिली होगी वरना अचानक आई किसी भी बिपति में हम वैसे ही रिक्ट   करते हैं जैसा हमने अभ्यास किया होता है |,0005,Hin,f
39,इसलिए हर समय अच्छा सोचे हमरी सोच ही हमारा जीवन बनाती है |,0005,Hin,f
1,अपने जीवन का लक्ष्य निर्धारित करो | और सभी दूसरे विचार  को  अपने दिमाग से निकाल दो यही सफलता की पूंजी है |,0006,Hin,m
2,सफलता पाने के लिए हमें पहले विश्वास करना होगा की हम कर सकते हैं,0006,Hin,m
3,शोधकर्ता ने यह अध्ययन शार्क की पोर्ट जैक्सन प्रजाति पर किया है।,0006,Hin,m
4,इसी के साथ नियुक्ति आदेश भी जारी हो सकते हैं।,0006,Hin,m
5,आठ जिलों में राजस्थान सशस्त्र बल की सत्रह कंपनियों की तैनात की गईं।,0006,Hin,m
6,उन्होंने कहा कि केएसआर बेंगलुरु को पांच फरवरी को एक निजी कंपनी काे सौंपा गया।,0006,Hin,m
7,"हालांकि, इस बीच लोकसभा में सरकार ने वित्त विधेयक दो  हज़ार उन्नीस   पास करा लिया।",0006,Hin,m
8,ऐसे हुई नर्मदा की उत्पत्ति,0006,Hin,m
9,यह भी कहा कि मांग स्वीकार न होने तक आंदोलन जारी रहेगा।,0006,Hin,m
10,हिंदू धर्म में भगवान और देवता सजे हुए व आभूषण पहने हुए दिखाए गए हैं।,0006,Hin,m
11,रेलवे बोर्ड के सदस्य विश्वेश चौबे और भारतीय रेलवे स्टेशन विकास निगम लिमिटेड (आईआरएसडीसी) के अध्यक्ष एस के लोहिया ने मंगलवार को इसकी जानकारी दी।,0006,Hin,m
12,विराट की अगुआई में भारतीय टीम ऑस्ट्रेलिया और न्यूजीलैंड में अजेय रही,0006,Hin,m
13,एसटीएफ उपाधीक्षक विजय प्रताप के मुताबिक लम्बे समय से संगम फूड प्रोडक्ट कम्पनी में नकली देशी घी और तिल के तेल का बनाने का कारोबार चल रहा था।,0006,Hin,m
14,फिल्म की एक टैग लाइन है – 'आज मेरी पगड़ी भी केसरी ।,0006,Hin,m
15,तब जिला पशुपालन पदाधिकारी चंद्रिका प्रसाद सिंह ने मेहरमा पहुंचकर पशुपालकों के साथ बैठक की।,0006,Hin,m
16,इसके लिए उन्होंने दाल बेचने की न्यूनतम लिमिट भी पांच से घटाकर दो क्विंटल कर दी है।,0006,Hin,m
17,"नेचर कम्युनिकेशन में प्रकाशित शोध के अनुसार, वैज्ञानिकों ने अध्ययन के लिए कंम्प्यूटर मॉडलिंग तकनीक का इस्तेमाल किया है।",0006,Hin,m
18,तीनों कंपनियों के अधिकारी इस मामले में एफआईआर करा चुके थे कि उनके नाम से उक्त जगह मिलावट युक्त घी बनाया जा रहा है।,0006,Hin,m
19,इसमें हवाला कारोबार के तीन गिरोह का पता चला।,0006,Hin,m
20,"वहीं, योगी सरकार ने मामले की जांच के लिए एडीजी रेलवे संजय सिंघल की अगुआई में एसआईटी गठित कर दी है।",0006,Hin,m
21,"चार्लोट के अनुसार, पर्तों में धूल के अलावा रेडियोएक्टिव पदार्थ थोरियम के दुर्लभ आइसोटोप भी पाए गए हैं।",0006,Hin,m
22,"यह रकम पाँच -सात  दिन में यूजर के उसी बैंक अकाउंट या क्रेडिट कार्ड में वापस पहुंच जाएगी, जिससे उसने पेमेंट किया होगा।",0006,Hin,m
23,एक बार अकबर के दरवार के कुछ लोगो ने बीरबल से जलकर कहा की अगर बीरबल हमारे ३ सवालो के जवाव दे देंगे तो हम मान लेंगे बीरबल बहुत होशियार हैं,0006,Hin,m
24,और सवाल थे – एक आकाश में कितने तारे हैं,0006,Hin,m
25,दो धरती का केंद्र कहाँ है,0006,Hin,m
26,और तीन  दुनिया में कितनी औरतें और कितने आदमी हैं,0006,Hin,m
27,दरवारियों ने कहा अगर बीरबल इन सवालो के जवाब नहीं दे पाए तो उन्हें अपने पद से इस्तीफा देना होगा,0006,Hin,m
28,बीरबल ने कहा मंज़ूर है,0006,Hin,m
29,पहले सवाल के जावा में बीरबल एक भेड़ ले आये और दरवारियों से कहा इस भेड़ के शरीर पर जितने बाल है उनते ही आकाश में तारे हैं,0006,Hin,m
30,आप चाहे तो गईं सकते है,0006,Hin,m
31,दूसरे सवाल के जवाब में बीरबल ने दो लाइन खिंची और उसमे लोहे की छड़ी डाल दी और कहा की यही धरती का केंद्र है,0006,Hin,m
32,जिसे यकीन न हो वह नाप सकता है,0006,Hin,m
33,और तीसरे सवाल के जवाब में बीरबल ने कहा यह  सवाल थोड़ा मुश्किल है क्यों की मेरे कुछ दरवारी मित्रो के बारे में कहना मुश्किल है की वह औरत है या आदमी,0006,Hin,m
